Shipment ID	FBA16SG7RMCJ
Name	FBA STA (07/21/2022 20:09)-LIT2
Plan ID	
Ship To	LIT2
Total SKUs	3
Total Units	18

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
LG-GRAM-15-I51135G7-16G512G-WH	LG Gram 15Z95N Laptop: Core i5-1135G7, 16GB RAM, 512GB SSD, 15.6" Full HD IPS Display, Backlit Keyboard, Windows 11	B09L8JYBL1	X00358ZPQJ	UPC: 195174024935	New	No prep required	"--"	Merchant	10
LG-GRAM-15-I51135G7-16G512G-WH-LNO	LG Gram 15Z95N Laptop: Core i5-1135G7, 16GB RAM, 512GB SSD, 15.6" Full HD IPS Display, Backlit Keyboard, Windows 11	B09L8JYBL1	X00378BMHN	UPC: 195174024935	Used - Like New	No prep required	"--"	Merchant	2
SHARK-VAC-HV322-BRD/SLV	Shark HV322 Rocket Pet Plus Corded Stick Vacuum with LED Headlights, XL Dust Cup, Lightweight, Perfect for Pet Hair Pickup, Converts to a Hand Vacuum, with (2) Pet Attachments, Bordeaux/Silver	B00NGVF4II	X003B8KS83	UPC: 622356537889	New	No prep required	"--"	Merchant	6
